,created_at,text,coordinates
0,Tue Dec 31 07:14:22 +0000 2013,Boom bitch get out the way! #drunk #islands #girlsnight  #BJs #hookah #zephyrs #boulder #marines… http://t.co/uYmu7c4o0x,"{'type': 'Point', 'coordinates': [-118.10041174, 34.14628356]}"
1,Tue Dec 31 18:49:31 +0000 2013,"@WeatherDude17 Not that revved up yet due to model inconsistency. I'd say 0-2"" w/ a decent chance of &gt;1"" #snow #COwx #weather #Denver",
2,Mon Dec 30 20:29:20 +0000 2013,Story of my life! 😂 #boulder http://t.co/ZMfNKEl0xD,"{'type': 'Point', 'coordinates': [0.13429814, 52.22500698]}"
3,Mon Dec 30 23:02:29 +0000 2013,We're looking for the two who came to help a cyclist after a hit-and-run at 30th/Baseline ~11pm Dec 23rd #Boulder #CO http://t.co/zyk3FkB4og,
4,Wed Jan 01 06:12:15 +0000 2014,Happy New Year #Boulder !!!! What are some of your New Years resolutions this year?,"{'type': 'Point', 'coordinates': [144.98467167, -37.80312131]}"
5,Mon Dec 30 21:05:27 +0000 2013,@simon_Says_so Nearly 60 degrees in #Boulder today. Great place to live. http://t.co/cvAcbpDQTC,
6,Tue Dec 31 22:53:06 +0000 2013,Deer #boulder onlyinboulder http://t.co/nGL2RoYHCr,
7,Tue Dec 31 22:52:34 +0000 2013,"NWS has only bumped up tomrorow's odds for #snow in #Denver from 30 to 40%. To me it ""feels"" like it should be closer to 60%. #COwx #weather",
8,Tue Dec 31 06:12:10 +0000 2013,"Wishing you the best 2014 full of joy, blessing, good food, wine, love, friendship, music &amp; art!  #boulder #bucknell #denver #fortcollins",
9,Tue Dec 31 15:27:06 +0000 2013,I never get tired of the view of #PikesPeak &amp; #Denver from #ThontonParkway. #COwx http://t.co/bk3jcbKAPB,
10,Tue Dec 31 18:48:41 +0000 2013,"For once, HPC probabilities *don't* feel overdone! ~50-60% ch &gt;1"" #snow Wed in #Denver; ~70-80% ch in #Boulder #COwx http://t.co/PwCbjV8Rzq",
11,Tue Dec 31 13:07:07 +0000 2013,"RT @coloradowx: Up to 2"" of #snow is *possible* Wednesday across the greater #Denver metro area. Updates tomorrow... #COwx #weather #Boulder",
